date,close,adj close,dividends,stock splits,currency
2019-05-08,22.343717247458358,14.706584955608264,0.0,0.0,EUR
2019-05-09,22.34171583332295,14.705265633655245,0.0,0.0,EUR
2019-05-10,22.297995674175922,14.676490997869564,0.0,0.0,EUR
2019-05-13,22.106606311696623,14.5505202789044,0.0,0.0,EUR
2019-05-14,22.24072532092987,14.638793434538002,0.0,0.0,EUR
2019-05-15,22.57489513621806,14.85874551167683,0.0,0.0,EUR
2019-05-16,22.812030020688553,15.014828948815875,0.0,0.0,EUR
2019-05-17,22.952400532682304,15.107219164835328,0.0,0.0,EUR
2019-05-20,22.821548887824747,15.021094124770798,0.0,0.0,EUR
2019-05-21,22.83999419414704,15.033232489809961,0.0,0.0,EUR
2019-05-22,22.854319075920102,15.042659450633437,0.0,0.0,EUR
2019-05-23,22.755621955529023,14.977698448022238,0.0,0.0,EUR
2019-05-24,22.743861093403893,14.969956895597079,0.0,0.0,EUR
2019-05-28,22.867080190872002,15.051061677149391,0.0,0.0,EUR
2019-05-29,22.822228695403282,15.02154051699199,0.0,0.0,EUR
2019-05-30,22.938141608281285,15.097834139838142,0.0,0.0,EUR
2019-05-31,22.770339614710338,14.987385866861018,0.0,0.0,EUR
2019-06-03,22.60324711083149,14.877407363949033,0.0,0.0,EUR
2019-06-04,22.49536474634283,14.806400251599712,0.0,0.0,EUR
2019-06-05,22.565235827518563,14.852386850541052,0.0,0.0,EUR
2019-06-06,22.584348983718883,14.864968663113132,0.0,0.0,EUR
2019-06-07,22.663060356835558,14.916773938336974,0.0,0.0,EUR
2019-06-10,22.46170319422697,14.784244294182145,0.0,0.0,EUR
2019-06-11,22.419826857745647,14.756678763976197,0.0,0.0,EUR
2019-06-12,22.495218405952073,14.806302193939018,0.0,0.0,EUR
2019-06-13,22.696434833687704,14.938744857266784,0.0,0.0,EUR
2019-06-14,22.83420858074578,15.029426542693045,0.0,0.0,EUR
2019-06-17,22.956124901771545,15.10967071934283,0.0,0.0,EUR
2019-06-18,23.115291049483858,15.21443283795179,0.0,0.0,EUR
2019-06-19,23.251934269205094,15.304369108168657,0.0,0.0,EUR
2019-06-20,23.12857174197302,15.223173635176067,0.0,0.0,EUR
2019-06-21,22.641547680308804,14.902616091424761,0.0,0.0,EUR
2019-06-24,22.522285493688173,14.824118627869893,0.0,0.0,EUR
2019-06-25,22.526603231317495,14.826960442933682,0.0,0.0,EUR
2019-06-26,22.348348596003916,14.709633733825171,0.0,0.0,EUR
2019-06-27,22.4488402616621,14.7932435372893,0.02637420058250427,0.0,EUR
2019-06-28,22.55792826290758,14.86512911476666,0.0,0.0,EUR
